start training
[114/200][0/39]	Loss_D: 0.252398	Loss_g: 2.691999	D(x): 0.862547	D(G(z)): 0.085750 / 0.099748
[115/200][0/39]	Loss_D: 0.331921	Loss_g: 2.312579	D(x): 0.766395	D(G(z)): 0.027122 / 0.136961
[116/200][0/39]	Loss_D: 0.239293	Loss_g: 3.363525	D(x): 0.916699	D(G(z)): 0.126661 / 0.049894
[117/200][0/39]	Loss_D: 0.383535	Loss_g: 4.292445	D(x): 0.961748	D(G(z)): 0.265523 / 0.022663
[118/200][0/39]	Loss_D: 0.375805	Loss_g: 5.233909	D(x): 0.985304	D(G(z)): 0.273286 / 0.008442
[119/200][0/39]	Loss_D: 0.266698	Loss_g: 2.991781	D(x): 0.906331	D(G(z)): 0.143554 / 0.067970
[120/200][0/39]	Loss_D: 0.200612	Loss_g: 2.844368	D(x): 0.884474	D(G(z)): 0.065047 / 0.088892
[121/200][0/39]	Loss_D: 0.282166	Loss_g: 4.709063	D(x): 0.955213	D(G(z)): 0.194052 / 0.014136
[122/200][0/39]	Loss_D: 0.210297	Loss_g: 2.298804	D(x): 0.865830	D(G(z)): 0.054026 / 0.140850
[123/200][0/39]	Loss_D: 0.187721	Loss_g: 3.304574	D(x): 0.884760	D(G(z)): 0.054842 / 0.058816
[124/200][0/39]	Loss_D: 0.181104	Loss_g: 3.067241	D(x): 0.910188	D(G(z)): 0.074764 / 0.068388
[125/200][0/39]	Loss_D: 0.299209	Loss_g: 4.454820	D(x): 0.941051	D(G(z)): 0.191005 / 0.018076
[126/200][0/39]	Loss_D: 0.540268	Loss_g: 5.899785	D(x): 0.980573	D(G(z)): 0.361761 / 0.004550
[127/200][0/39]	Loss_D: 0.189442	Loss_g: 2.775761	D(x): 0.887637	D(G(z)): 0.061150 / 0.093254
[128/200][0/39]	Loss_D: 0.232577	Loss_g: 2.718537	D(x): 0.871626	D(G(z)): 0.080688 / 0.097989
[129/200][0/39]	Loss_D: 0.181783	Loss_g: 3.209586	D(x): 0.946014	D(G(z)): 0.110419 / 0.058171
[130/200][0/39]	Loss_D: 0.364905	Loss_g: 4.602228	D(x): 0.975441	D(G(z)): 0.265235 / 0.014192
[131/200][0/39]	Loss_D: 0.159983	Loss_g: 3.332232	D(x): 0.931962	D(G(z)): 0.081259 / 0.050089
[132/200][0/39]	Loss_D: 0.206915	Loss_g: 3.425386	D(x): 0.917894	D(G(z)): 0.102228 / 0.048740
[133/200][0/39]	Loss_D: 0.311619	Loss_g: 1.871619	D(x): 0.812426	D(G(z)): 0.075265 / 0.210766
[134/200][0/39]	Loss_D: 0.337018	Loss_g: 2.629670	D(x): 0.827374	D(G(z)): 0.116060 / 0.102568
[135/200][0/39]	Loss_D: 0.210939	Loss_g: 2.925966	D(x): 0.884506	D(G(z)): 0.074018 / 0.078990
[136/200][0/39]	Loss_D: 0.519702	Loss_g: 4.201166	D(x): 0.967552	D(G(z)): 0.323549 / 0.025858
[137/200][0/39]	Loss_D: 0.208656	Loss_g: 3.896432	D(x): 0.949949	D(G(z)): 0.130685 / 0.031124
[138/200][0/39]	Loss_D: 0.163302	Loss_g: 3.231434	D(x): 0.931336	D(G(z)): 0.082630 / 0.058957
[139/200][0/39]	Loss_D: 1.099211	Loss_g: 4.653278	D(x): 0.953668	D(G(z)): 0.563896 / 0.018801
[140/200][0/39]	Loss_D: 0.262133	Loss_g: 3.369990	D(x): 0.925865	D(G(z)): 0.154776 / 0.049291
[141/200][0/39]	Loss_D: 0.175810	Loss_g: 3.628191	D(x): 0.930168	D(G(z)): 0.090742 / 0.039187
[142/200][0/39]	Loss_D: 0.172556	Loss_g: 3.310195	D(x): 0.929313	D(G(z)): 0.086101 / 0.058980
[143/200][0/39]	Loss_D: 0.143303	Loss_g: 3.259627	D(x): 0.930394	D(G(z)): 0.063560 / 0.056090
[144/200][0/39]	Loss_D: 5.138249	Loss_g: 0.271065	D(x): 0.015660	D(G(z)): 0.000522 / 0.795006
[145/200][0/39]	Loss_D: 0.682182	Loss_g: 1.356644	D(x): 0.558190	D(G(z)): 0.028352 / 0.320615
[146/200][0/39]	Loss_D: 0.204565	Loss_g: 3.048557	D(x): 0.906927	D(G(z)): 0.092360 / 0.071948
[147/200][0/39]	Loss_D: 0.435518	Loss_g: 5.120099	D(x): 0.971095	D(G(z)): 0.299734 / 0.009093
[148/200][0/39]	Loss_D: 0.194753	Loss_g: 3.911721	D(x): 0.966108	D(G(z)): 0.140031 / 0.028607
[149/200][0/39]	Loss_D: 0.197590	Loss_g: 3.516034	D(x): 0.943025	D(G(z)): 0.117790 / 0.044114
[150/200][0/39]	Loss_D: 0.148996	Loss_g: 3.271469	D(x): 0.922892	D(G(z)): 0.061125 / 0.054819
[151/200][0/39]	Loss_D: 0.141184	Loss_g: 3.443513	D(x): 0.927688	D(G(z)): 0.057863 / 0.050802
[152/200][0/39]	Loss_D: 0.192768	Loss_g: 3.729406	D(x): 0.976508	D(G(z)): 0.142792 / 0.033673
[153/200][0/39]	Loss_D: 0.156138	Loss_g: 3.965144	D(x): 0.978661	D(G(z)): 0.119037 / 0.028771
[154/200][0/39]	Loss_D: 1.129743	Loss_g: 4.330723	D(x): 0.985337	D(G(z)): 0.579705 / 0.024026
[155/200][0/39]	Loss_D: 0.238515	Loss_g: 3.022255	D(x): 0.885347	D(G(z)): 0.096434 / 0.073624
[156/200][0/39]	Loss_D: 0.157006	Loss_g: 3.495452	D(x): 0.928667	D(G(z)): 0.074173 / 0.041231
[157/200][0/39]	Loss_D: 0.165320	Loss_g: 3.386513	D(x): 0.927110	D(G(z)): 0.078673 / 0.052080
[158/200][0/39]	Loss_D: 0.146013	Loss_g: 3.540561	D(x): 0.944731	D(G(z)): 0.079319 / 0.040143
[159/200][0/39]	Loss_D: 0.609765	Loss_g: 2.661082	D(x): 0.637046	D(G(z)): 0.051031 / 0.130633
[160/200][0/39]	Loss_D: 0.141634	Loss_g: 3.776224	D(x): 0.940141	D(G(z)): 0.072082 / 0.035255
[161/200][0/39]	Loss_D: 0.137114	Loss_g: 3.457833	D(x): 0.928086	D(G(z)): 0.057003 / 0.045925
[162/200][0/39]	Loss_D: 0.159688	Loss_g: 3.913233	D(x): 0.972477	D(G(z)): 0.114820 / 0.028381
[163/200][0/39]	Loss_D: 0.159042	Loss_g: 2.954406	D(x): 0.897427	D(G(z)): 0.044839 / 0.078061
[164/200][0/39]	Loss_D: 0.144656	Loss_g: 3.436615	D(x): 0.918074	D(G(z)): 0.051159 / 0.051127
[165/200][0/39]	Loss_D: 0.162103	Loss_g: 3.509118	D(x): 0.881072	D(G(z)): 0.028865 / 0.053188
[166/200][0/39]	Loss_D: 0.127498	Loss_g: 3.553930	D(x): 0.928711	D(G(z)): 0.048004 / 0.046169
[167/200][0/39]	Loss_D: 0.406150	Loss_g: 3.570462	D(x): 0.901764	D(G(z)): 0.225399 / 0.044149
[168/200][0/39]	Loss_D: 0.215023	Loss_g: 2.770064	D(x): 0.870679	D(G(z)): 0.061030 / 0.093786
[169/200][0/39]	Loss_D: 0.141205	Loss_g: 4.011163	D(x): 0.958617	D(G(z)): 0.088064 / 0.027753
[170/200][0/39]	Loss_D: 0.158219	Loss_g: 3.193150	D(x): 0.878981	D(G(z)): 0.023626 / 0.059882
[171/200][0/39]	Loss_D: 0.134401	Loss_g: 4.233084	D(x): 0.931946	D(G(z)): 0.058288 / 0.023612
